num_try,mode,val_loss,test_acc,test_error,test_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
0,Mode.DLMT_DQ_F_TORQUE,7.851009922027588,2.3159713745117188,28.078147768974304,28.078147768974304,136.35585236549375,0.0032264430522918,0.0003365211486816,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.0,True,363,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
1,Mode.DLMT_DQ_F_TORQUE,12.09610689163208,2.853166103363037,4.492012038826942,4.492012038826942,82.2540910243988,0.0032487922906875,0.0003830736875534,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.2,True,221,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
2,Mode.DLMT_DQ_F_TORQUE,22.14441261291504,4.229468822479248,-10.530535876750946,10.530535876750946,78.39906311035156,0.0032279628515243,0.0003494242429733,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.5,True,211,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
3,Mode.DLMT_DQ_F_TORQUE,8.457428474426269,2.3603739738464355,22.83762097358704,22.83762097358704,104.50889086723328,0.0032320359945297,0.0003439977169036,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.01,0.01,0.0,True,288,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
4,Mode.DLMT_DQ_F_TORQUE,10.402528038024904,2.7148101329803467,15.529206395149233,15.529206395149233,120.28216361999512,0.0032282096147537,0.0003420001268386,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.01,0.01,0.2,True,325,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
5,Mode.DLMT_DQ_F_TORQUE,25.129341163635253,4.48438024520874,-7.554008811712265,7.554008811712265,96.08483171463013,0.0032293465137481,0.0003435453176498,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.01,0.01,0.5,True,260,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
6,Mode.DLMT_DQ_F_TORQUE,9.419775600433349,2.4778852462768555,40.78061580657959,40.78061580657959,84.64560437202454,0.0032335866689682,0.0003710035085678,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.0,True,234,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
7,Mode.DLMT_DQ_F_TORQUE,10.526466331481934,2.678860664367676,11.271416395902634,11.271416395902634,96.65029168128969,0.0032294778823852,0.0003450603485107,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.2,True,261,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
8,Mode.DLMT_DQ_F_TORQUE,22.091202507019045,4.268614292144775,-13.663311302661896,13.663311302661896,125.89336442947388,0.0032272733449935,0.0003537557125091,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.5,True,340,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
9,Mode.DLMT_DQ_F_TORQUE,9.491679592132568,2.4574928283691406,49.13181364536285,49.13181364536285,104.52356624603271,0.0032327666282653,0.0003702788352966,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.0,0.01,0.0,True,287,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
10,Mode.DLMT_DQ_F_TORQUE,9.991172885894777,2.632122039794922,8.523930609226227,8.523930609226227,116.22149991989136,0.0032422086000442,0.0003669606447219,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.0,0.01,0.2,True,314,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
11,Mode.DLMT_DQ_F_TORQUE,23.27589931488037,4.334688663482666,-9.941262751817703,9.941262751817703,124.6136121749878,0.0032420853376388,0.0003540937900543,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.0,0.01,0.5,True,336,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
12,Mode.DLMT_DQ_F_TORQUE,7.604454689025879,2.242109775543213,41.788482666015625,41.788482666015625,129.0264551639557,0.003244523525238,0.0003555694818496,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.0,True,356,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
13,Mode.DLMT_DQ_F_TORQUE,9.74074598312378,2.609044551849365,8.070297539234161,8.070297539234161,88.09655833244324,0.0032372472286224,0.0003454374074935,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.2,True,238,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
14,Mode.DLMT_DQ_F_TORQUE,20.26000801086425,4.0874128341674805,-10.760828852653503,10.760828852653503,107.60572409629822,0.003235117316246,0.0003689465522766,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.5,True,291,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
15,Mode.DLMT_DQ_F_TORQUE,9.014814987182618,2.433128833770752,30.698424577713013,30.698424577713013,126.51366257667542,0.0032364246845245,0.0003852280378341,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.0,True,348,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
16,Mode.DLMT_DQ_F_TORQUE,11.79152997970581,2.8536152839660645,11.116518080234528,11.116518080234528,112.30431532859802,0.0032423923015594,0.0003953380584716,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.2,True,301,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
17,Mode.DLMT_DQ_F_TORQUE,25.76591236114502,4.5247721672058105,-10.037771612405775,10.037771612405775,128.79031538963318,0.0032471997737884,0.0003860491514205,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.5,True,346,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
18,Mode.DLMT_DQ_F_TORQUE,7.97871374130249,2.3551273345947266,30.87086975574493,30.87086975574493,105.61901307106018,0.0032321417331695,0.0004031450748443,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.0,True,289,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
19,Mode.DLMT_DQ_F_TORQUE,10.474734725952148,2.7650275230407715,6.104855239391327,6.104855239391327,123.25676202774048,0.0032323018312454,0.0003571565151214,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.2,True,333,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
20,Mode.DLMT_DQ_F_TORQUE,26.06894905090332,4.624810695648193,-11.762131750583649,11.762131750583649,87.17687249183655,0.0032362962961196,0.0003752073049545,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.5,True,235,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
21,Mode.DLMT_DQ_F_TORQUE,10.98176794052124,2.663930177688598,26.92936658859253,26.92936658859253,89.05262637138367,0.0032637540102005,0.0003412905931472,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.0,True,245,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
22,Mode.DLMT_DQ_F_TORQUE,11.78825538635254,2.90451455116272,15.30400812625885,15.30400812625885,135.80545163154602,0.003231660246849,0.0003470773696899,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.2,True,366,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
23,Mode.DLMT_DQ_F_TORQUE,23.50374038696289,4.38149356842041,-9.7799152135849,9.7799152135849,76.61566066741943,0.003238383769989,0.0003714213371276,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.5,True,206,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
24,Mode.DLMT_DQ_F_TORQUE,9.390134811401367,2.4849789142608643,19.569215178489685,19.569215178489685,88.95048356056213,0.0032343318462371,0.0003679180145263,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.0,True,244,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
25,Mode.DLMT_DQ_F_TORQUE,10.564314975738526,2.7245264053344727,13.121934235095978,13.121934235095978,116.85743927955627,0.0032371866703033,0.0003743238449096,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.2,True,315,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
26,Mode.DLMT_DQ_F_TORQUE,24.481589431762696,4.384770393371582,-8.777058869600296,8.777058869600296,112.25113916397096,0.0032391175031661,0.0003493885993957,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.5,True,302,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
27,Mode.DLMT_DQ_F_TORQUE,9.736742610931396,2.535306692123413,9.118196368217468,9.118196368217468,90.64642548561096,0.0033054552078247,0.000350406885147,64,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.0,True,244,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
28,Mode.DLMT_DQ_F_TORQUE,8.857322750091553,2.474454402923584,18.32781732082367,18.32781732082367,122.65466499328612,0.0033002122640609,0.0003487123250961,64,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.2,True,323,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
29,Mode.DLMT_DQ_F_TORQUE,14.129377517700195,3.224242210388184,4.673919081687927,4.673919081687927,90.03488206863403,0.0033115121126174,0.0003686919212341,64,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.5,True,234,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
