num_try,mode,val_loss,val_acc,val_error,val_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
0,Mode.DLMT_DQ_F_TORQUE,6.414647274017334,2.0312533378601074,23.591366410255432,23.591366410255432,68.75143671035767,0.0031354328393936,0.0003271632194519,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.0,True,225,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
1,Mode.DLMT_DQ_F_TORQUE,7.047573881149292,2.113790512084961,-0.9078399278223516,0.9078399278223516,75.18112635612488,0.0031880054473876,0.0003301624059677,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.2,True,237,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
2,Mode.DLMT_DQ_F_TORQUE,9.81804443359375,2.694487333297729,21.158690750598907,21.158690750598907,95.18470597267152,0.0031643685102462,0.000329863667488,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.5,True,300,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
3,Mode.DLMT_DQ_F_TORQUE,6.659069719314576,2.0317752361297607,43.4509813785553,43.4509813785553,55.16824388504028,0.0032699917554855,0.0003404482603073,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.0,True,180,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
4,Mode.DLMT_DQ_F_TORQUE,7.403111200332642,2.224430084228516,8.335039019584656,8.335039019584656,92.97614216804504,0.0031675027608871,0.0003311049938201,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.2,True,293,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
5,Mode.DLMT_DQ_F_TORQUE,13.21494951248169,3.200930118560791,34.59754586219788,34.59754586219788,82.05670595169067,0.0032758663892745,0.0003411515951156,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.5,True,259,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
6,Mode.DLMT_DQ_F_TORQUE,6.313944330215454,2.0294065475463867,-1.563151553273201,1.563151553273201,62.64677739143372,0.0031677380800247,0.0003305212259292,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.01,0.01,0.0,True,204,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
7,Mode.DLMT_DQ_F_TORQUE,6.626352739334107,2.1585440635681152,-6.294764578342438,6.294764578342438,80.5029628276825,0.0032349462509155,0.0003341245651245,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.01,0.01,0.2,True,257,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
8,Mode.DLMT_DQ_F_TORQUE,13.067458000183104,3.062707901000977,16.954584419727325,16.954584419727325,100.13077569007874,0.0031682684421539,0.0003320090770721,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.01,0.01,0.5,True,320,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
9,Mode.DLMT_DQ_F_TORQUE,7.202764072418213,2.1120152473449707,50.70184469223023,50.70184469223023,68.59657883644104,0.0031859830617904,0.0003328038454055,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.0,True,223,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
10,Mode.DLMT_DQ_F_TORQUE,5.463057975769043,1.9121999740600584,2.936656214296818,2.936656214296818,87.66972827911377,0.0032477910518646,0.0003370976448059,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.2,True,279,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
11,Mode.DLMT_DQ_F_TORQUE,13.620921363830568,3.16817569732666,8.558633178472519,8.558633178472519,65.9496419429779,0.0032144825458526,0.000335149526596,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.5,True,209,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
12,Mode.DLMT_DQ_F_TORQUE,6.299021635055542,2.017246961593628,8.470367640256882,8.470367640256882,63.0688066482544,0.0031901297569274,0.0003322798013687,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.0,True,207,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
13,Mode.DLMT_DQ_F_TORQUE,7.16731219291687,2.335587501525879,13.042052090168,13.042052090168,79.43307423591614,0.0033362774848937,0.0003439638614654,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.2,True,248,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
14,Mode.DLMT_DQ_F_TORQUE,13.85921480178833,3.202054023742676,25.07837116718292,25.07837116718292,80.70669889450073,0.0031838791370391,0.000333582162857,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.5,True,254,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
15,Mode.DLMT_DQ_F_TORQUE,6.187571926116943,1.9633222818374636,15.06948620080948,15.06948620080948,82.88979744911194,0.0031917606592178,0.0003334436416625,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.0,True,269,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
16,Mode.DLMT_DQ_F_TORQUE,6.9768388557434085,2.168088674545288,-1.5971099957823751,1.5971099957823751,69.54583501815796,0.0032287811040878,0.0003368592262268,64,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.2,True,217,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
