num_try,mode,val_loss,val_acc,val_error,val_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
0,Mode.DLMT_DQ_FM,9.075092277526856,2.1426985263824463,9.453205019235613,9.453205019235613,74.83660197257996,0.0022783399820327,0.0002474397420883,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.0,True,290,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
1,Mode.DLMT_DQ_FM,17.03309741973877,2.112595319747925,-9.598585963249208,9.598585963249208,78.3226625919342,0.0023382436037063,0.0002535177469253,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.0,True,314,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
2,Mode.DLMT_DQ_FM,24.44308609008789,2.229858160018921,-7.6395183801651,7.6395183801651,74.60474348068237,0.0022262049913406,0.0002422430515289,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.0,True,295,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
3,Mode.DLMT_DQ_FM,41.88083343505859,2.116381883621216,-10.178946703672407,10.178946703672407,81.91141843795776,0.0022690595388412,0.0002455059289932,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.0,True,326,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
4,Mode.DLMT_DQ_FM,19.17771472930908,3.266821384429932,-9.389457106590273,9.389457106590273,69.34971451759338,0.0023099142313003,0.0002511128187179,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.2,True,267,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
5,Mode.DLMT_DQ_FM,31.925178756713866,2.9000558853149414,-14.559412002563477,14.559412002563477,64.17658138275146,0.0022471760511398,0.0002450822591781,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.2,True,250,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
6,Mode.DLMT_DQ_FM,34.85797988891601,2.6734087467193604,-13.365568220615389,13.365568220615389,54.54349732398987,0.0023608729839324,0.0002565935850143,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.2,True,210,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
7,Mode.DLMT_DQ_FM,89.28689453125,3.034932374954224,-9.046420454978945,9.046420454978945,59.64129424095154,0.0023409951925277,0.0002489912509918,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.2,True,223,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
8,Mode.DLMT_DQ_FM,37.50723846435547,4.747748851776123,-13.717693090438845,13.717693090438845,76.75448203086853,0.0022686469554901,0.000247252702713,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.5,True,297,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
9,Mode.DLMT_DQ_FM,68.91429946899414,4.41809606552124,-13.298462331295012,13.298462331295012,65.10940480232239,0.0022470868825912,0.0002447124719619,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.5,True,247,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
10,Mode.DLMT_DQ_FM,82.78389953613281,4.321599960327148,-14.02481347322464,14.02481347322464,70.38589024543762,0.0023379032611846,0.0002533152103424,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.5,True,273,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
11,Mode.DLMT_DQ_FM,193.2821060180664,4.781408309936523,-14.530512690544128,14.530512690544128,47.06641221046448,0.0022459886074066,0.0002444931268692,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.5,True,181,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
12,Mode.DLMT_DQ_FM,7.678387069702149,2.012355327606201,-0.968865305185318,0.968865305185318,68.49304270744324,0.0022421253919601,0.000244103193283,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.0,True,271,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
13,Mode.DLMT_DQ_FM,19.818473625183103,2.3010833263397217,-5.230087414383888,5.230087414383888,80.69097375869751,0.0023605635166168,0.0002564786672592,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.0,True,315,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
14,Mode.DLMT_DQ_FM,20.107690925598146,2.083587169647217,-14.502297341823578,14.502297341823578,71.80402207374573,0.0023593587875366,0.0002588154077529,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.0,True,278,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
15,Mode.DLMT_DQ_FM,40.02134048461914,2.0774600505828857,3.1200099736452103,3.1200099736452103,91.07167744636536,0.0022390120029449,0.0002448955774307,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.0,True,358,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
16,Mode.DLMT_DQ_FM,15.628673934936524,2.838954448699951,-13.538320362567902,13.538320362567902,56.11353039741516,0.0022788063287734,0.0002465385198593,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.2,True,216,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
17,Mode.DLMT_DQ_FM,37.2208406829834,3.188758611679077,-13.458450138568878,13.458450138568878,82.4685287475586,0.0022591197490692,0.0002456766366958,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.2,True,320,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
18,Mode.DLMT_DQ_FM,44.258535919189455,3.1509244441986084,-0.7136298343539238,0.7136298343539238,75.609454870224,0.0022812592983245,0.0002470149993896,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.2,True,291,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
19,Mode.DLMT_DQ_FM,79.02578155517578,2.945984125137329,-16.510233283042908,16.510233283042908,80.2046205997467,0.0022464326620101,0.000245626091957,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.2,True,310,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
20,Mode.DLMT_DQ_FM,42.53744178771973,4.928883075714111,-13.209089636802672,13.209089636802672,65.4204752445221,0.0023345782756805,0.0002514828443527,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.5,True,246,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
21,Mode.DLMT_DQ_FM,62.031131744384766,4.195323944091797,-14.46283608675003,14.46283608675003,89.68900060653687,0.0022450209856033,0.0002467933893203,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.5,True,346,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
22,Mode.DLMT_DQ_FM,85.24828506469727,4.363962173461914,-11.80962771177292,11.80962771177292,45.89044260978699,0.002294640302658,0.0002512706518173,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.5,True,175,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
23,Mode.DLMT_DQ_FM,176.61677642822266,4.40001916885376,-15.43443202972412,15.43443202972412,49.4332263469696,0.0023195995092391,0.0002520406246185,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.5,True,187,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
24,Mode.DLMT_DQ_FM,8.248269176483154,2.0670173168182373,1.1503552086651323,1.1503552086651323,71.34943914413452,0.0023040100336074,0.0002512227296829,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.0,True,278,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
25,Mode.DLMT_DQ_FM,14.682060203552249,1.9652382135391235,8.338190615177155,8.338190615177155,95.24353122711182,0.0022885403633117,0.0002489137649536,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.0,True,366,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
26,Mode.DLMT_DQ_FM,22.1311557006836,2.20429801940918,-8.078425377607346,8.078425377607346,90.91443157196044,0.002254286289215,0.0002459033727645,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.0,True,357,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
27,Mode.DLMT_DQ_FM,40.46262214660644,2.0607810020446777,1.2357695028185844,1.2357695028185844,62.25956726074219,0.0023684664964675,0.000260254740715,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.0,True,239,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
28,Mode.DLMT_DQ_FM,13.718263206481934,2.606022596359253,-11.954906582832336,11.954906582832336,63.922027349472046,0.0023722767829895,0.000261023402214,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.2,True,244,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
29,Mode.DLMT_DQ_FM,37.13885414123535,3.165066957473755,-13.965529203414915,13.965529203414915,44.64644289016724,0.0022968150377273,0.0002516024112701,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.2,True,168,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
30,Mode.DLMT_DQ_FM,42.62063461303711,2.9075145721435547,-11.58570945262909,11.58570945262909,77.456059217453,0.0022378289699554,0.0002448418140411,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.2,True,293,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
31,Mode.DLMT_DQ_FM,79.46679336547851,2.879158973693848,-16.822725534439087,16.822725534439087,63.234368085861206,0.0022434457540512,0.0002450522184371,64,"[32, 32]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.2,True,243,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
