num_try,mode,val_loss,test_acc,test_error,test_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
0,Mode.TORQUE,11.973453617095949,6.683276176452637,-344.3316650390625,344.3316650390625,114.88963389396667,0.0020505113601684,0.0002553042173385,64,[16],[GELU(approximate='none')],0.01,0.01,0.01,0.0,True,367,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
1,Mode.TORQUE,17.577104873657227,5.930826187133789,-275.5946655273437,275.5946655273437,80.99962377548218,0.0020333573818206,0.0002491525411605,64,[16],[GELU(approximate='none')],0.01,0.01,0.01,0.0,True,274,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
2,Mode.TORQUE,33.21392902374268,6.669390678405762,-328.3055419921875,328.3055419921875,104.76707339286804,0.0020306458473205,0.0002200489044189,64,[16],[GELU(approximate='none')],0.01,0.01,0.01,0.0,True,355,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.5}"
3,Mode.TORQUE,31.241354064941405,7.045299053192139,-339.5996398925781,339.5996398925781,70.72702217102051,0.0020378741025924,0.0002160350084304,64,[16],[GELU(approximate='none')],0.01,0.01,0.01,0.0,True,239,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
4,Mode.TORQUE,57.05666275024414,6.800711631774902,-397.7013244628906,397.7013244628906,61.52972006797791,0.0020258215665817,0.0002207666635513,64,[16],[GELU(approximate='none')],0.01,0.01,0.01,0.0,True,208,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
5,Mode.TORQUE,76.89858337402343,6.575190544128418,-352.3543701171875,352.3543701171875,63.08827948570252,0.0020317409038543,0.0002265230417251,64,[16],[GELU(approximate='none')],0.01,0.01,0.01,0.0,True,213,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.5}"
6,Mode.TORQUE,52.48490013122559,6.378634452819824,-319.58123779296875,319.58123779296875,76.43636393547058,0.0020301810503005,0.0002192412614822,64,[16],[GELU(approximate='none')],0.01,0.01,0.01,0.0,True,257,ModifiedHuberLoss,"{'delta': 1.0, 'factor': 0.5}"
7,Mode.TORQUE,113.6205372619629,6.884038925170898,-394.0253601074219,394.0253601074219,55.04377317428589,0.0020448439121246,0.0002172482013702,64,[16],[GELU(approximate='none')],0.01,0.01,0.01,0.0,True,185,ModifiedHuberLoss,"{'delta': 1.0, 'factor': 1.0}"
8,Mode.TORQUE,167.31372894287108,6.939044952392578,-364.2654418945313,364.2654418945313,48.07957577705383,0.0020443148612976,0.0002323014736175,64,[16],[GELU(approximate='none')],0.01,0.01,0.01,0.0,True,161,ModifiedHuberLoss,"{'delta': 1.0, 'factor': 1.5}"
9,Mode.TORQUE,14.358194198608398,7.800094127655029,-363.5044555664063,363.5044555664063,55.69342827796936,0.0020424207448959,0.0002495008707046,64,[16],[GELU(approximate='none')],0.01,0.01,0.01,0.2,True,184,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
10,Mode.TORQUE,26.80060871124268,7.7672834396362305,-377.2436218261719,377.2436218261719,61.384169578552246,0.0020438348054885,0.0002279028892517,64,[16],[GELU(approximate='none')],0.01,0.01,0.01,0.2,True,204,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
11,Mode.TORQUE,54.17366867065429,9.311700820922852,-401.2317504882813,401.2317504882813,35.09337258338928,0.0020431990623474,0.0002170767784118,64,[16],[GELU(approximate='none')],0.01,0.01,0.01,0.2,True,115,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.5}"
12,Mode.TORQUE,38.27908447265625,8.18073558807373,-432.2940673828125,432.2940673828125,65.65722680091858,0.0020457646846771,0.0002415064573287,64,[16],[GELU(approximate='none')],0.01,0.01,0.01,0.2,True,219,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
13,Mode.TORQUE,73.73542846679688,8.210790634155273,-415.300048828125,415.300048828125,39.08175420761109,0.0020444016456604,0.0002217136621475,64,[16],[GELU(approximate='none')],0.01,0.01,0.01,0.2,True,128,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
