muscle_selected,q_clavicle_effector_right_RotX,q_clavicle_effector_right_RotY,q_scapula_effector_right_RotX,q_scapula_effector_right_RotY,q_scapula_effector_right_RotZ,q_humerus_right_RotY,q_humerus_right_RotX,q_humerus_right_RotY_1,qdot_clavicle_effector_right_RotX,qdot_clavicle_effector_right_RotY,qdot_scapula_effector_right_RotX,qdot_scapula_effector_right_RotY,qdot_scapula_effector_right_RotZ,qdot_humerus_right_RotY,qdot_humerus_right_RotX,qdot_humerus_right_RotY_1,alpha,origin_muscle_x,origin_muscle_y,origin_muscle_z,insertion_muscle_x,insertion_muscle_y,insertion_muscle_z,segment_length,dlmt_dq_clavicle_effector_right_RotX,dlmt_dq_clavicle_effector_right_RotY,dlmt_dq_scapula_effector_right_RotX,dlmt_dq_scapula_effector_right_RotY,dlmt_dq_scapula_effector_right_RotZ,dlmt_dq_humerus_right_RotY,dlmt_dq_humerus_right_RotX,dlmt_dq_humerus_right_RotY_1,muscle_force,torque
1,0.0,-0.15,0.0,0.0,0.0,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0118262878167502,-0.0303977570745077,0.1990446005268211,0.2254752975383714,-0.0499338246140877,0.1081067796390192,-0.0308472700735326,-0.0039881363586206,-0.038807167419434,-0.0263215221047814,-0.0117584248834819,-0.0104787204284334,330.4741795999192,-137.62359773269745
1,0.0,-0.1455,0.0,0.0,0.0,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0118436981106458,-0.0296122059167338,0.1992095441848176,0.2260170998622186,-0.0498477360170914,0.1081471301486134,-0.0308869464182564,-0.0039662640358462,-0.0387767302626688,-0.0262984916998791,-0.0117711424248549,-0.0104815202908232,331.7914285604986,-138.43260447938167
1,0.0,-0.141,0.0,0.0,0.0,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0118607372353814,-0.0288259147805389,0.1993709698652529,0.226558020234969,-0.0497611611187255,0.108184893722866,-0.0309261137132021,-0.0039445474334265,-0.0387463143014194,-0.0262756341888337,-0.01178335216082,-0.0104840833470615,333.09166802096865,-139.23633341934914
1,0.0,-0.1365,0.0,0.0,0.0,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0118774048459152,-0.0280388995882915,0.1995288742992627,0.2270980533224185,-0.049674107464426,0.1082200968584742,-0.0309647765343911,-0.0039229855281632,-0.0387159204966674,-0.0262529486706672,-0.0117950590690533,-0.0104864120468122,334.3769124864793,-140.03501913198247
1,0.0,-0.132,0.0,0.0,0.0,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0118937006047288,-0.0272511762770224,0.1996832542892875,0.227637193838015,-0.0495865824538217,0.1082527656813909,-0.0310029393911963,-0.0039015772992105,-0.0386855497578267,-0.026230434225685,-0.0118062680662634,-0.0104885088048787,335.649055222013,-140.8288812447227
1,0.0,-0.1275,0.0,0.0,0.0,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0119096241818335,-0.0264627607981017,0.1998341067091379,0.2281754365420638,-0.0494985933436688,0.1082829259519909,-0.0310406067272671,-0.0038803217282969,-0.038655202944219,-0.026208089916352,-0.0118169840088719,-0.0104903760017021,336.9098672914159,-141.61812409455166
1,0.0,-0.123,0.0,0.0,0.0,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0119251752547775,-0.025673669116916,0.1999814285040574,0.2287127762409516,-0.0494101472507312,0.1083106030701934,-0.0310777829214477,-0.0038592177999385,-0.038624880866512,-0.0261859147881417,-0.0118272116936937,-0.0104920159838564,338.16099710910413,-142.40293645690122
1,0.0,-0.1185,0.0,0.0,0.0,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0119403535086521,-0.0248839172125447,0.2001252166907848,0.2292492077863908,-0.0493212511546083,0.1083358220805413,-0.0311144722886885,-0.0038382645016412,-0.0385945842881236,-0.0261639078703601,-0.0118369558586161,-0.0104934310645385,339.40397046984816,-143.18349133856944
1,0.0,-0.1139999999999999,0.0,0.0,0.0,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0119551586360981,-0.0240935210774371,0.2002654683576142,0.2297847260746824,-0.0492319119005107,0.1083586076772352,-0.0311506790809488,-0.003817460824095,-0.0385643139265907,-0.0261420681769444,-0.0118462211832771,-0.0104946235240529,340.64019102264206,-143.95994583122786
1,0.0,-0.1095,0.0,0.0,0.0,0.0,-1.4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0626543,-0.147759,0.0220602,-0.0119695903373123,-0.0233024967170877,0.2004021806644541,0.2303193260459968,-0.0491421362019842,0.1083789842091218,-0.0311864074880942,-0.0037968057613578,-0.0385340704549055,-0.0261203947072364,-0.0118550122897422,-0.0104955956102923,341.8709411554266,-144.73244102212684
