num_try,mode,val_loss,test_acc,test_error,test_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
0,Mode.DLMT_DQ_FM,3.8207396659851076,1.2475605010986328,-60616835072000.0,60616835072000.0,234.24422240257263,0.0033806424617767333,0.00037087435722351074,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.0,True,308,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
1,Mode.DLMT_DQ_FM,9.389965774536133,2.035141706466675,-5064430000.0,5064430000.0,235.85509943962097,0.0033833011150360107,0.0003632190227508545,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.2,True,320,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
2,Mode.DLMT_DQ_FM,3.8081233768463134,1.2651580572128296,-12371893452800.0,12371893452800.0,273.52762961387634,0.003384125852584839,0.00037096619606018065,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.1,0.01,0.0,True,381,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
3,Mode.DLMT_DQ_FM,10.132827461242675,2.147043466567993,-6946784800.0,6946784800.0,244.90975689888,0.003327299976348877,0.0003603482723236084,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.1,0.01,0.2,True,338,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
4,Mode.DLMT_DQ_FM,4.27522306060791,1.3204373121261597,-4210080972800.0,4210080972800.0,198.44549012184143,0.0033263395309448243,0.0003543208599090576,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.0,True,280,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
5,Mode.DLMT_DQ_FM,9.428413436889649,2.0347208976745605,-9882333600.0,9882333600.0,241.01463913917542,0.003331712818145752,0.0003652502536773682,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.2,True,333,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
6,Mode.DLMT_DQ_FM,3.9895409450531005,1.2860214710235596,-66950456934400.0,66950456934400.0,223.11180925369263,0.0033334064960479737,0.00036040930747985837,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.0,0.01,0.0,True,315,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
7,Mode.DLMT_DQ_FM,9.908848075866699,2.097916841506958,-6038812000.0,6038812000.0,260.6882395744324,0.0033278459072113038,0.00036256933212280276,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.0,0.01,0.2,True,360,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
8,Mode.DLMT_DQ_FM,3.5428264904022218,1.2018481492996216,-1893486387200.0,1893486387200.0,372.1357088088989,0.003340448808670044,0.00039689927101135256,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.1,0.01,0.0,True,523,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
9,Mode.DLMT_DQ_FM,10.814792846679687,2.24458909034729,-1510078500.0,1510078500.0,190.62747430801392,0.003340180015563965,0.00036696534156799315,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.1,0.01,0.2,True,263,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
10,Mode.DLMT_DQ_FM,4.146717872619629,1.3693991899490356,-13360329523200.0,13360329523200.0,250.08120965957642,0.0033434858798980713,0.00037387986183166504,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.001,0.01,0.0,True,353,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
11,Mode.DLMT_DQ_FM,10.452262016296388,2.155745267868042,-9652908800.0,9652908800.0,181.7110195159912,0.0033391566276550293,0.0003581881046295166,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.001,0.01,0.2,True,251,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
12,Mode.DLMT_DQ_FM,3.6958292007446287,1.2024145126342773,46441988096000.0,46441988096000.0,260.83021330833435,0.003334437370300293,0.00037423844337463376,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.0,True,370,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
13,Mode.DLMT_DQ_FM,10.445920051574706,2.169257879257202,-15153116800.0,15153116800.0,209.72141695022583,0.00334106388092041,0.0003548239231109619,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.2,True,291,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
14,Mode.DLMT_DQ_FM,3.699446077346802,1.2189515829086304,95832643993600.0,95832643993600.0,258.34371542930603,0.003335648536682129,0.00036078524589538573,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.1,0.01,0.0,True,364,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
15,Mode.DLMT_DQ_FM,9.975259811401367,2.1125221252441406,21352460800.0,21352460800.0,214.91428589820862,0.0033347079277038574,0.0003618037223815918,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.1,0.01,0.2,True,298,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
16,Mode.DLMT_DQ_FM,3.502091691970825,1.1888030767440796,3092953907200.0,3092953907200.0,296.7543103694916,0.003336147737503052,0.0003649192810058594,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.0,True,420,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
17,Mode.DLMT_DQ_FM,10.491665161132813,2.2128825187683105,-133785766400.0,133785766400.0,216.64438891410828,0.0033416242599487306,0.00035882883071899414,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.2,True,300,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
