num_try,mode,val_loss,test_acc,test_error,test_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
0,Mode.DLMT_DQ_F_TORQUE,3.910350568771362,1.4492512941360474,-4734347264000.0,4734347264000.0,194.53216099739075,0.0024132767200469,0.0002538290977478,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.0,True,380,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
1,Mode.DLMT_DQ_F_TORQUE,9.324194076538086,2.3039495944976807,-6293614000.0,6293614000.0,195.16166305541992,0.0025294002532958,0.0002644940376281,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.2,True,374,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
2,Mode.DLMT_DQ_F_TORQUE,29.17513702392578,4.224202156066895,2317848200.0,2317848200.0,89.89327597618103,0.0024526645183563,0.0002577916145324,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.5,True,170,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
3,Mode.DLMT_DQ_F_TORQUE,4.07838610458374,1.4788315296173096,-543289241600.0,543289241600.0,228.1645123958588,0.0024565651416778,0.0002576280117034,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.1,0.01,0.0,True,448,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
4,Mode.DLMT_DQ_F_TORQUE,10.85769637298584,2.535088539123535,-4299576800.0,4299576800.0,166.99466633796692,0.0024211991786956,0.0002554622650146,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.1,0.01,0.2,True,321,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
5,Mode.DLMT_DQ_F_TORQUE,28.24699481201172,4.173901081085205,-6921476800.0,6921476800.0,95.98671436309814,0.0025033182144165,0.0002630458831787,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.1,0.01,0.5,True,182,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
6,Mode.DLMT_DQ_F_TORQUE,3.950827039718628,1.4367797374725342,-11336799027200.0,11336799027200.0,212.82092833518985,0.0024287793636322,0.0002557984352111,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.0,True,416,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
7,Mode.DLMT_DQ_F_TORQUE,9.66436923980713,2.3560707569122314,-4706620400.0,4706620400.0,164.62880563735962,0.0024368296146392,0.0002561031818389,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.2,True,316,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
8,Mode.DLMT_DQ_F_TORQUE,27.479983474731444,4.083732128143311,-1251984600.0,1251984600.0,136.2244713306427,0.002426223373413,0.0002558674335479,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.5,True,260,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
9,Mode.DLMT_DQ_F_TORQUE,3.521517999649048,1.3808245658874512,-26483482624000.0,26483482624000.0,273.1716139316559,0.0024268114089965,0.0002564831733703,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.0,0.01,0.0,True,537,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
10,Mode.DLMT_DQ_F_TORQUE,9.909272354125976,2.40479040145874,-53436224000.0,53436224000.0,171.05485939979553,0.0025358993530273,0.0002676723003387,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.0,0.01,0.2,True,326,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
11,Mode.DLMT_DQ_F_TORQUE,27.403395431518558,4.120706081390381,-3124234600.0,3124234600.0,182.4878077507019,0.0024866790771484,0.0002622661590576,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.0,0.01,0.5,True,345,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
12,Mode.DLMT_DQ_F_TORQUE,4.312545703887939,1.5325393676757812,-2598544179200.0,2598544179200.0,168.67654061317444,0.0024361708164215,0.0002570004463195,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.1,0.01,0.0,True,329,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
13,Mode.DLMT_DQ_F_TORQUE,10.68751145172119,2.5373315811157227,4557334400.0,4557334400.0,171.41079545021057,0.0024213448047637,0.0002558047771453,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.1,0.01,0.2,True,323,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
14,Mode.DLMT_DQ_F_TORQUE,27.074448501586915,4.102530956268311,-2755459800.0,2755459800.0,148.41969394683838,0.0024304435253143,0.0002568060398101,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.1,0.01,0.5,True,284,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
15,Mode.DLMT_DQ_F_TORQUE,3.8497126960754393,1.4353216886520386,2558909849600.0,2558909849600.0,232.65974640846247,0.0024446668624877,0.0002576815605163,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.001,0.01,0.0,True,457,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
16,Mode.DLMT_DQ_F_TORQUE,11.51186849975586,2.6183438301086426,-3922984400.0,3922984400.0,121.25898241996764,0.0024370380878448,0.0002574330806732,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.001,0.01,0.2,True,233,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
17,Mode.DLMT_DQ_F_TORQUE,29.293019973754884,4.227658748626709,2209835000.0,2209835000.0,101.73700523376463,0.0024469486713409,0.0002585160255432,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.1,0.001,0.01,0.5,True,195,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
18,Mode.DLMT_DQ_F_TORQUE,3.702477222442627,1.394354224205017,-225651064832000.0,225651064832000.0,300.58440494537354,0.0024528176784515,0.0002581809997558,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.0,True,584,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
19,Mode.DLMT_DQ_F_TORQUE,9.292997337341308,2.320582866668701,-9040205600.0,9040205600.0,213.4551010131836,0.002417481136322,0.000255576133728,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.2,True,402,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
20,Mode.DLMT_DQ_F_TORQUE,28.86596176147461,4.233810424804688,-6750572800.0,6750572800.0,148.6247742176056,0.0024580344200134,0.0002597151279449,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.5,True,282,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
21,Mode.DLMT_DQ_F_TORQUE,3.8826487655639648,1.443123698234558,-52267899289600.0,52267899289600.0,202.190135717392,0.0024797752380371,0.000261826133728,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.1,0.01,0.0,True,390,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
22,Mode.DLMT_DQ_F_TORQUE,8.800241004943848,2.2506561279296875,-9715784000.0,9715784000.0,260.7863767147064,0.0025161056518554,0.0002662749290466,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.1,0.01,0.2,True,496,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
23,Mode.DLMT_DQ_F_TORQUE,29.314027969360357,4.314829349517822,-7394258400.0,7394258400.0,115.29072785377502,0.0024365576744079,0.0002576034069061,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.1,0.01,0.5,True,220,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
24,Mode.DLMT_DQ_F_TORQUE,3.971488082885742,1.5068289041519165,-17287703756800.0,17287703756800.0,224.1571671962738,0.0024797956943511,0.0002624633789062,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.0,True,439,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
25,Mode.DLMT_DQ_F_TORQUE,10.038112041473388,2.4153876304626465,-4714238800.0,4714238800.0,179.59058094024658,0.0025335353851318,0.0002670148849487,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.2,True,341,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
26,Mode.DLMT_DQ_F_TORQUE,26.04054786682129,4.0167670249938965,-3868703200.0,3868703200.0,142.01835298538208,0.0024674631595611,0.0002599220275878,128,"[128, 128]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.5,True,266,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
27,Mode.DLMT_DQ_F_TORQUE,3.052203939437866,1.2380014657974243,-407788322816000.0,407788322816000.0,204.42466926574707,0.0027213288307189,0.000275168800354,128,"[256, 256]","[GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.0,True,373,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
