num_try,mode,val_loss,test_acc,test_error,test_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
0,Mode.TORQUE,8.697034397125243,3.598304271697998,-4.640844836831093,4.640844836831093,101.67536401748656,0.0031562911987304,0.0003307700157165,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.0,True,195,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
1,Mode.TORQUE,8.098487245559692,3.915982484817505,-12.819622457027435,12.819622457027435,142.4983205795288,0.0031823194026947,0.0003325552463531,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.2,True,276,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
2,Mode.TORQUE,12.636166984558104,5.979840755462647,-28.101766109466556,28.101766109466556,164.39725279808044,0.0032168223857879,0.0003375824928283,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.0,0.01,0.5,True,318,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
3,Mode.TORQUE,8.860924449920654,3.711522340774536,-16.954320669174194,16.954320669174194,74.1561770439148,0.0032077111244201,0.0003355030536651,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.1,0.01,0.0,True,147,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
4,Mode.TORQUE,8.112688459396363,4.012595176696777,-14.635348320007324,14.635348320007324,135.0657558441162,0.0032258429527282,0.0003369534492492,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.1,0.01,0.2,True,257,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
5,Mode.TORQUE,13.379668548583984,6.188000679016113,-27.03906893730164,27.03906893730164,122.1029977798462,0.0031993787288665,0.0003334704875946,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.1,0.01,0.5,True,231,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
6,Mode.TORQUE,8.390079532623291,3.6648690700531006,-37.14181184768677,37.14181184768677,57.35190796852112,0.0032320665359497,0.0003396602153778,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.0,True,113,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
7,Mode.TORQUE,8.465302854537963,3.9097492694854736,-13.454687595367432,13.454687595367432,106.89076375961304,0.0032104682445526,0.0003364622592926,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.2,True,204,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
8,Mode.TORQUE,12.658950019836428,5.980004787445068,-26.64802372455597,26.64802372455597,125.09021949768066,0.0032471396446228,0.0003392087936401,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.5,True,240,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
9,Mode.TORQUE,9.283588922500613,3.664703130722046,-10.774938017129898,10.774938017129898,74.74275040626526,0.0031961950778961,0.0003350275039672,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.1,0.0,0.01,0.0,True,148,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
10,Mode.TORQUE,8.455153978347779,4.085338592529297,-9.767908602952955,9.767908602952955,125.04411363601685,0.003195522737503,0.0003353349208831,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.1,0.0,0.01,0.2,True,240,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
11,Mode.TORQUE,13.46912752532959,6.328003883361816,-29.142704606056213,29.142704606056213,142.49490690231323,0.0031987000465393,0.0003362087726593,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.1,0.0,0.01,0.5,True,273,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
12,Mode.TORQUE,8.74434008026123,3.6387624740600586,-54.85498309135437,54.85498309135437,76.71623682975769,0.0032100785255432,0.000337710237503,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.1,0.1,0.01,0.0,True,150,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
13,Mode.TORQUE,8.017144798278808,4.006772041320801,-8.35803598165512,8.35803598165512,145.5722723007202,0.0032445353507995,0.0003393491744995,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.1,0.1,0.01,0.2,True,280,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
14,Mode.TORQUE,13.332702152252198,6.32442045211792,-26.7454594373703,26.7454594373703,145.74267292022705,0.0032814887523651,0.0003426208019256,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.1,0.1,0.01,0.5,True,278,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
15,Mode.TORQUE,8.902263442993164,3.608807802200317,-2.567415125668049,2.567415125668049,75.4245936870575,0.0032986812114715,0.0003487236022949,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.1,0.001,0.01,0.0,True,148,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
16,Mode.TORQUE,8.1208099899292,4.029876232147217,-11.636566370725632,11.636566370725632,94.20832228660583,0.0032368555068969,0.0003412922859191,128,"[128, 128, 128]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.1,0.001,0.01,0.2,True,178,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
